Cognitive Distortion,Generated Story,Generative Model,Gpt Consistency,Gpt Accuracy,Gpt Fluency,Claude Consistency,Claude Accuracy,Claude Fluency
흑백 사고,"[남자/14]
---
방과 후, 조립 키트를 망쳤다.  완벽하게 만들어야 했는데,  망가졌으니 나는 아무것도 못 하는 쓸모없는 사람이다.  컴퓨터 프로그래밍도,  내가 원하는 대로 안 될 거야.  결국, 나는 실패할 거다.
",Gemini,2,2,2,2,3,2
흑백 사고,"[여자/18]
---
걔를 좋아하는 건지 아닌지 모르겠어.  내 감정은 괜찮은 건지, 아니면 착각인지.  좋아하면 엄청 좋아하는 거고, 아니면 완전히 무관심한 거야.  둘 중 하나일 뿐이지.  애매한 건 없어.  그러니까… 난 걔를 좋아하는 거겠지. 아니면 아닐 거고.
",Gemini,3,3,3,2,2,3
흑백 사고,"[여자/17세]
---
엄마는 완벽하거나, 끔찍하거나 둘 중 하나야.  설거지 좀 안 했다고 또 소리 질렀어.  내가 잘못했으니 나는 형편없는 딸이고,  엄마는 영원히 화낼 거야.  아니면,  다시 평온해질 거고,  내가 잘못 생각한 걸까?  모르겠어.  모든 게 극단적이야.
",Gemini,3,3,3,3,3,3
흑백 사고,"[여자/15]
---
시험 망쳤어.  전교 1등 아니면 아무 의미 없어.  법조인 꿈도 이젠 물건너갔어.  사회적 약자 돕는 건 꿈도 못 꿀 거야.  내 인생 끝장이야.  모든 게 다 틀렸어.
",Gemini,2,3,3,2,3,2
흑백 사고,"[여자/17세]
---
알바 첫날, 서빙 실수로 혼났다.  손님 불만이 폭주하면 내 탓이고, 가게는 망할 것이다.  잘하면 칭찬이고 못하면 벌이다.  나는 쓸모없는 존재다.  다른 알바생들은 다 잘하는데 나만 못한다.  퇴사해야 하나.
",Gemini,2,3,2,2,2,2
흑백 사고,"[여자/14세]
---
경찰이 되고 싶은데, 태권도를 열심히 해도 안 될 것 같아.  합격하면 성공, 떨어지면 완전 실패야.  내가 경찰이 되지 못하면 인생 망하는 거라고. 다른 방법은 없어.  도둑을 잡는 일 말고는 아무것도 할 수 없어.
",Gemini,2,3,3,2,3,2
흑백 사고,"[여자/15세]
---
학원을 안 가니 성적이 떨어졌어.  엄마는 화내고,  나는 완전히 실패자 같아.  학원에 가야만 좋은 학생이 되는 걸까?  안 가면 난 아무것도 아닌 거야.  그냥 다 포기하고 싶어.
",Gemini,3,3,3,2,3,2
흑백 사고,"[여자/15]
---
엄마 없이 하루를 보냈는데, 세상이 무너지는 것 같아. 엄마가 가까이 사는데도, 보고 싶어 미칠 것 같고, 내일 학교 가는 것도, 밥 먹는 것도 의미가 없어.  엄마 생일 선물도 못 정했어.  잘 해낼 수 있을까?  아니, 아마 안 될 거야.  모든 게 끝장인 것 같아.
",Gemini,2,3,3,2,3,2
흑백 사고,"[여자/15세]
---
엄마한테서 도망치려 학교도 안 갈 거야.  아빠한테 연락 가는 것도 싫고, 선생님께 문자 보내는 것도 의미 없어.  결국, 학교 안 가면 낙제고, 낙제하면 인생 끝이야.  그냥 다 포기할 거야.  아무것도 할 수 없어.
",Gemini,2,2,2,2,3,2
흑백 사고,"[여자/17세]
---
친구들이랑 싸웠어.  내 잘못이 아니라고 생각했는데, 다들 날 싫어하는 것 같아.  내가 뭘 잘못했는지 모르겠어.  모두 나를 버릴 거야.  아무도 날 이해하지 못해.  인생은 망했어.  친구 없이 혼자 남을 거야.
",Gemini,2,2,3,2,3,2
흑백 사고,"[남자/16세]
---
시험 망쳤다.  다 망한 거다.  친구들은 다 잘했을 거고,  나는 낙제생이다.  살 가치 없어.  재수 없어.  모든 게 끔찍해.  그냥 끝내버리고 싶다.
",Gemini,2,2,2,2,2,2
흑백 사고,"[여자/16세]
---
걔가 나 좋아한다는 걸 세 명 다 알아.  고백 받으면 사귀는 건 배신이고, 거절하면 셋 다 불편해질 거야.  어차피 망할 거 같아.  좋아하는 마음은 진짜인데,  결국엔 다 잃을 것 같아.  모두가 나를 싫어하게 될 거야.  나는 선택할 수 없어.
",Gemini,3,3,3,2,3,2
흑백 사고,"[남자/15]
---
미용사가 되고 싶은데, 공부를 잘해야만 가능한 건가?  열심히 해도 안 될 수도 있고, 안 해도 될 수도 있겠지.  결국엔 내 실력이 중요할 텐데,  실력이 없으면 아예 안 되는 거고.  미용고등학교를 가야 할까? 아니면 그냥 포기해야 할까?  두 가지 중 하나일 뿐이야.
",Gemini,2,3,3,2,2,2
흑백 사고,"[여자/15]
---
진로상담에서 놀이치료사는 너무 힘든 직업이라고 했어.  그럼 나는 아예 실패하는 거야? 이과, 문과, 어느 쪽도 답이 없어.  꿈을 포기해야 할까?  어차피 난 아무것도 안 될 거야.
",Gemini,2,3,2,2,2,2
흑백 사고,"[남자/15]
---
내가 파일럿이 되지 못하면 인생은 끝장이야.  인터넷에서 본 대학교 순위,  내가 원하는 대학에 못 가면  모든 게 무너질 거 같아.  취업률?  수능 등급?  그것만 중요해.  다른 건 아무 의미 없어.  성공하거나 실패하거나, 둘 중 하나일 뿐이야.
",Gemini,2,3,3,2,3,2
흑백 사고,"[여자/17세]
---
새아빠는 끔찍한 사람이야.  혹은, 아주 좋은 사람이야. 둘 중 하나일 거야.  어제 키스는 절대 용서할 수 없어.  그래, 그냥 나쁜 사람이야.  엄마한테 말해야 할까?  말하면 다 괜찮아질까? 아니면 더 나빠질까?  모든 게 망칠 거 같아.  아니면, 아무 일도 없었던 것처럼 될 수도 있겠지.  하지만, 아니야.  망칠 거야.  분명히.
",Gemini,2,2,3,2,3,3
흑백 사고,"[여자/15]
---
친구가 내 장난을 웃으며 받아쳤지만, 표정이 굳은 걸 봤어.  내가 장난치면 괜찮지만, 나를 놀리면 못 참는다는 거야.  그러니까 나는 괜찮은 사람이 아니고, 나쁜 사람인 거지.  완전히.
",Gemini,3,3,2,2,3,2
흑백 사고,"[여자/17]
---
수시 원서 썼는데, 바리스타 체험 후 꿈이 바뀌었다.  합격하면 성공, 떨어지면 완전 실패다.  바리스타가 아니면 아무것도 아닌 것 같고, 다른 길은 생각도 안 난다.  전문대? 대기업?  합격 여부만 중요하지, 그 외엔 아무것도 중요하지 않다.
",Gemini,2,3,3,2,3,3
흑백 사고,"[남자/14]
---
수학 시험, 망쳤다. 100점 아니면 0점이나 다름없지.  모든 문제를 틀린 건 아니지만, 몇 문제 틀린 것만 생각난다.  다 틀린거나 마찬가지야.  나는 완전히 실패자다.  다시는 잘 할 수 없을 거야.
",Gemini,2,2,2,2,2,2
흑백 사고,"[여자/16세]
---
엄마가 동생 때문에 또 화를 내셨다.  내가 잘못한 건 없는데,  다 싸움의 원인이 나라고 한다.  결국 내 잘못이 아니라고 해도,  엄마는 날 싫어하는 거다.  모든 게 다 망했어.  나는 엄마에게 버려진 거나 마찬가지야.
",Gemini,2,3,2,2,2,2
흑백 사고,"[남자/18세]
---
아버지의 냉담함에 집은 감옥 같다.  내 성적은 좋지 않거나, 최고여야 한다.  중간은 없다.  학원도 가지 말라니,  나는 완전히 실패한 인생이다.  아버지와 나는 영원히 소통할 수 없다.  희망도, 미래도 없다.  모든 게 끝났다.
",Gemini,2,3,3,3,3,2
흑백 사고,"[남자/16세]
---
욕설을 했다. 친구들이 싫어할까 봐 불안하다.  내가 욕을 하면 완전히 나쁜 놈이 되는 걸까?  아니면, 욕 안하면 좋은 친구가 될 수 있을까?  모든 게 욕 때문에 망치는 걸까?
",Gemini,3,3,3,3,3,2
흑백 사고,"[여자/17세]
---
시험을 망쳤다.  모든 게 끝장났다.  나는 아무짝에도 쓸모없는 존재다.  다른 애들은 다 잘하는데 나만…  내 모습이 끔찍하다. 예뻐지지 않으면 아무도 날 좋아하지 않을 거야.  살아갈 가치가 없어.
",Gemini,2,3,2,2,3,2
