Cognitive Distortion,Generated Story,Generative Model,Gemini Consistency,Gemini Accuracy,Gemini Fluency,Claude Consistency,Claude Accuracy,Claude Fluency
흑백 사고,"[남자/14세]  
---  
시험에서 100점을 못 받으면 완전히 실패한 거라고 생각해. 친구들이 나를 인정해주지 않는 것 같아. 다른 친구들은 다 잘하는데, 나는 도무지 할 수 있는 게 없어. 정말 최악이야.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/17]  
---  
그녀와 대화할 때마다 기분이 좋았는데, 오늘은 식사를 함께하지 않았다. 나는 이제 그녀와의 우정이 끝났다고 생각해. 이렇게 된 거라면 나는 그녀에게 쓸모없는 존재인 거야.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/16]  
---  
친구들이 나를 초대하지 않으면, 이제 아무도 나와 놀고 싶지 않은 것 같아. 그들은 항상 나를 무시해. 한 번의 실수 덕분에 나는 완전히 외톨이가 된 것 같아.",GPT,2,2,3,2,2,2
흑백 사고,"[여자/15세]  
---  
법을 배우지 않으면 사회적 약자들을 도와줄 수 없다는 생각이 들어. 내가 제대로 하지 못한다면, 그들은 더 큰 고통을 겪게 될 거야. 나는 그저 잃는 것뿐이야.",GPT,2,2,3,2,3,3
흑백 사고,"[여자/16]  
---  
아르바이트 첫날, 실수를 연발하니 사장님이 나를 무섭게 쳐다봐. 이런 상태로 계속 일한다면 나는 절대 쓸모없는 직원이 될 거야. 적응을 못하면 아예 일을 그만둘 수밖에 없어.",GPT,2,2,2,2,3,3
흑백 사고,"[여자/14세]  
---  
나는 경찰이 되고 싶지만, 태권도를 배우지 않으면 완전 실패할 것 같아. 만약 잘하지 못하면, 다른 꿈은 모두 사라질 거라 생각해. 이렇게 고민하는 내가 너무 나약하게 느껴져.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/16세]  
---  
학원 없이 학교만 다니니 성적이 폭락했어. 금방 학원이 없으면 아무것도 잘할 수 없을 거야. 그냥 학원에 다녀서 모두처럼 되어야 하는 거 아닐까? 실패는 피할 수 없는 결과니까.",GPT,2,3,2,2,3,2
흑백 사고,"[여자/15세]  
---  
엄마가 곧 학교에 오지 않겠다고 하니까, 완전히 나를 버린 걸로 느껴져. 엄마가 없으면 아무것도 할 수 없을 것 같아. 이제 내가 정말 혼자라는 생각에 눈물이 나와.",GPT,2,2,3,2,2,2
흑백 사고,"[여자/16]  
---  
학교 시험에 떨어지면 전부 다 망친 거야. 친구들한테도 소외당할 거고, 엄마는 실망할 거야. 이런 상황이 계속되면 나는 도대체 뭘 할 수 있을까? 교실이 정말 두렵다.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/16세]  
---  
친구가 나를 피하는 것 같아. 아마 모든 사람도 나를 싫어할 거야. 나는 절대로 소중한 사람이 없다고 느껴. 차라리 혼자 지내는 게 낫겠지, 나 같은 사람은 필요 없으니까.",GPT,2,3,2,2,3,2
흑백 사고,"[남자/16세]  
---  
나는 이 시험에서 실패하면 완전히 무능력한 존재가 될 거야. 나의 노력이 헛되이 된다면, 나의 모든 게 의미 없어져. 그럴 바엔 차라리 아예 시험을 포기하고 싶어.",GPT,2,2,3,2,2,2
흑백 사고,"[여자/15세]  
---  
진실게임에서 내 마음을 털어놨는데, 친구들은 날 비웃기만 해. 나한텐 이 상황이 지옥 같아. 모두가 나를 좋아하지 않으면, 나는 완전히 외로움에 갇힌 사람이라고 생각해.",GPT,2,2,3,2,2,3
흑백 사고,"[남자/15]  
---  
헤어디자이너가 되고 싶지만, 실수할까 두려워. 내가 못하면 전혀 소용이 없을 거야. 남자로서 미용실에서 인정받기 힘들겠지. 혹시 실패하면 주위 사람들이 나를 완전히 비웃을 것 같아.",GPT,2,2,2,2,3,3
