Cognitive Distortion,Generated Story,Generative Model,Gpt Consistency,Gpt Accuracy,Gpt Fluency,Gemini Consistency,Gemini Accuracy,Gemini Fluency
감정적 추론,"[남자/16세]
---
매일 피시방에 숨어 있어요. 학교가 싫고 아빠가 무서워요. 그전에 아빠한테 맞아서 기절한 적도 있었죠. 부모님한테 안걸리는 방법을 찾고 있어요. 앞으로도 이렇게 살아야 할까요?",CLAUDE,3,3,3,2,3,2
과잉 일반화,"[여자/15세]
---
우리 반 애들은 여전히 휴대폰을 빼앗는다. 지난번에 내 폰이 울렸는데 숨기고 꺼버렸더니 선생님께서 모두에게 폰을 내라고 하셨다. 이제 왕따까지 당하고 있어, 이 문제는 절대 해결되지 않을 것 같다.",CLAUDE,2,2,2,2,3,2
과잉 일반화,"[여자/16세]
---
학교에서 친구들이 내 외모를 놀리는 걸 견디기 힘들어요. 내가 평범한 것처럼 보이지 않나 봐요. 다른 친구들은 괜찮은데 왜 나만 이런 취급을 받는 걸까요? 이렇게 계속되면 학교 가기도 싫어질 것 같아요.",CLAUDE,2,3,3,2,3,3
흑백 사고,"[여자/16세]
---
친구와 싸웠어요. 내 말투가 싸가지 없다고 해요. 그리고 뻔뻔하다고도 했죠. 이제 인연이 끝났는데 어떡하죠? 같은 모둠이라 매일 보게 되는데, 이 관계가 어려워질 것 같아요. 완전히 끝났다고 생각하니 너무 힘들어요.",CLAUDE,3,3,3,3,3,3
감정적 추론,"[여자/15세]
---
평소 활발했던 나는 요즘 생활이 싫어졌어. 아무도 나를 이해하지 못하는 것 같아 무기력해지고 우울해져. 친구들이 나를 이상하게 보는 것 같아 힘들다.",CLAUDE,3,3,3,2,3,2
과잉 일반화,"[여자/15세]
---
학교가 싫어요. 제가 잘못한 것도 없는데 친구들이 저를 놀리고 무시해요. 잘나가는 애들이 제게 관심도 없고 심지어 이상한 소문까지 퍼뜨려요. 앞으로 좋아하는 사람도 없을 것 같아요. 혼자 남겨질까 봐 두려워요.",CLAUDE,3,3,3,2,3,3
과잉 일반화,"[여자/15세]
---
어제 친구가 나를 무시한 것 같아. 나는 다른 애들처럼 친구들과 어울리지 못하는 외톨이 같아. 앞으로도 아무도 나를 좋아하지 않을 거야.",CLAUDE,2,3,3,2,2,2
'해야 한다' 진술,"[여자/17세]
---
수시는 제겐 절대 합격할 수 없어. 부모님이 대학에서 교수가 되라고 하지만 난 유치원 교사가 꿈이라고 말씀드려도 들어주질 않으셔. 차라리 학교를 자퇴하고 싶지만, 그럴 순 없으니 괴롭다.",CLAUDE,2,3,3,2,2,2
과잉 일반화,"[여자/17세]
---
전문대는 성적이 좋지 않은 나에게 적합하지 않을 거야. 요리 자격증도 별로 도움이 될 것 같지 않아. 모든 학교가 공부 잘하는 학생만 원하는 것 같아서 결국 어떻게 해야 할지 모르겠어. 집 형편도 넉넉하지 않으니 전문대 등록금도 감당하기 힘들 거야.",CLAUDE,3,3,3,2,3,3
과잉 일반화,"[남자/17세]
---
나는 친구들과 이야기하는 게 너무 어려워. 화제를 잡기도 힘들고, 말도 잘 어울리지 않아. 그러다 보니 점점 친구들과의 관계가 멀어져 가는 것 같아. 대화의 벽이 생겨서 친구들과 잘 지내기 힘들어.",CLAUDE,3,2,3,2,3,3
과잉 일반화,"[남자/고2]
---
성격이 여자 같아서 친구들이 나를 만만하게 본다. 순하고 부탁을 거절하지 못해 자꾸 괴롭힘을 당하는 것 같다. 전학을 가고 싶지만 엄마가 반대하신다. 더 이상 이 학교에 다닐 수 없을 것 같다.",CLAUDE,3,3,3,2,2,2
성급한 판단,"[여자/15세]
---
그 친구가 나와 연락이 없어져서 걱정되었다. 내가 실수로 답변을 보냈다는 걸 말하고 싶지만, 혹시 상처 줄까봐 망설여졌다. 이제 다시 그 친구와 대화할 방법이 없어 답답하다.",CLAUDE,2,3,3,2,2,3
