Cognitive Distortion,Generated Story,Generative Model,Claude Consistency,Claude Accuracy,Claude Fluency,Gpt Consistency,Gpt Accuracy,Gpt Fluency
감정적 추론,"[남자/16세]
---
아빠의 전화에 온몸이 굳었다.  실업계 합격 소식에도 기쁘지 않다.  피시방에서 거짓말한 게 들통날까 봐. 아빠는 항상 화내고, 나를 실망시켰다고 생각할 거야.  결국 학교는 가지 못할 것 같다.  내가 잘못했으니까.
",GEMINI,3,3,2,3,3,3
과잉 일반화,"[여자/15]
---
휴대폰을 잃어버렸어.  분명 책상에 두었는데 없어.  다 내 잘못이야.  항상 이렇게 물건을 잃어버리니까.  내가 뭘 해도 다 망칠 거야.  아무도 날 믿지 않을 거고,  친구들도 나랑 안 놀아줄 거야.  결국 혼자가 되겠지.
",GEMINI,2,3,2,2,3,3
과잉 일반화,"[여자/17]
---
수학 시험을 망쳤다. 80점이었는데,  다른 애들은 다 잘 봤을 거야.  나는 늘 이렇게 틀리고,  아무리 노력해도 소용없어.  결국 난 낙제할 거고,  앞으로도 늘 이럴 거야.  다 내 잘못이야.
",GEMINI,2,2,2,2,3,3
흑백 사고,"[여자/15세]
---
방송부 발표 연습 중, 실수로 마이크를 떨어뜨렸어.  망했어.  모두가 내 실수만 쳐다봤어.  완전히 망신이야.  다시는 친구들 앞에 나설 수 없을 거야.  내 인생 망했어.
",GEMINI,2,3,2,2,2,3
감정적 추론,"[여자/14]
---
친구들이 웃지 않는다고 해. 내가 무표정해서 화난 줄 알았대.  내 표정이 그렇게 보였나?  내가 뭘 잘못한 걸까?  억지로 웃어도 웃는 척만 하는 것 같아.  다들 나를 싫어하는 걸까?  힘들다.
",GEMINI,3,3,3,3,3,3
과잉 일반화,"[여자/15세]
---
시험 점수가 낮았다.  망했다.  모든 시험을 망칠 거야.  다들 나를 바보 취급할 거고,  친구들도 나랑 안 놀아줄 거야.  아무도 날 좋아하지 않아.  차라리 학교를 안 가는 게 나을 것 같아.
",GEMINI,2,3,2,2,3,3
과잉 일반화,"[여자/17]
---
고등학교 2학년, 또 혼자 점심 먹는다.  옆 테이블 친구들의 웃음소리가 날카롭게 들린다.  다들 나랑 안 맞는 걸까?  작년까진 친했던 애들도 이젠 나 멀리한다.  아무도 날 좋아하지 않는 것 같다.  다시 혼자가 될 거야.
",GEMINI,2,3,3,3,3,3
'해야 한다' 진술,"[여자/18세]
---
엄마는 내가 서울대에 가길 바라셔.  그래야 성공한 삶이라는데.  난 전문대 가서 유치원 선생님이 되고 싶은데…  엄마 말 안 들으면 불효녀가 되는 걸까?  내 꿈은 중요하지 않은 걸까?  나는 꼭 엄마 기대에 부응해야만 할까?
",GEMINI,3,3,3,3,3,3
과잉 일반화,"[여자/17세]
---
고등학교 내신 성적이 너무 안 좋아.  대학은커녕,  취업도 힘들 거야.  내가 뭘 잘하는지 모르겠어.  모든 사람들은 다 잘하는데 나만…  결국 난 아무것도 못하는 사람일 거야.  앞으로도 계속 이럴 거 같아.
",GEMINI,2,2,3,2,3,3
과잉 일반화,"[남자/17]
---
점심시간, 혼자 도시락 먹는데 또 아무도 말 안 걸었다.  항상 이래.  내가 재미없어서 그런가.  저번에도 그랬고, 그 전에도…  아무도 나랑 이야기하고 싶어하지 않는다는 건가?  다시 혼자 남았다.  내가 문제인 거겠지.
",GEMINI,2,3,3,3,3,3
과잉 일반화,"[남자/18]
---
개학 첫날, 발표 수업에서 실수했다.  내 발표가 엉망이었고, 모두가 나를 비웃었을 거야.  분명 나만 바보처럼 보였을 거다.  다시는 친구들 앞에 나설 수 없을 것 같아.  전학 가고 싶다.  모든 게 망했어.
",GEMINI,2,3,2,2,3,3
성급한 판단,"[여자/15세]
---
민지가 내 험담을 했다는 말을 들었어.  걔가 나랑 안 친해졌으면 좋겠다고 했대.  내가 잘못한 게 뭐지?  아무래도 내가 옷을 너무 야하게 입어서 그런가?  다들 나를 싫어할 거 같아.  친구가 없어질까봐 너무 무서워.
",GEMINI,2,2,2,2,2,3
낙인찍기,"[여자/15세]
---
미술시간에 발표해야 하는데, 그림 실력이 부족해 망칠까 봐 걱정이다.  내 그림은 항상 다른 친구들 그림보다 못하고, 칭찬은커녕 비웃음만 살 것 같다.  발표하면 창피하고 쪽팔릴 테니까, 차라리 안 하는 게 나을까?  결국 혼자 끙끙 앓으며 시간만 보냈다.
",GEMINI,2,2,3,2,2,3
과잉 일반화,"[여자/18]
---
새 학기 첫날, 반 친구들과 어색했다.  몇 명은 서로 아는 사이였고, 나만 혼자였다.  내가 먼저 다가가도 시큰둥한 반응뿐이었다.  결국 혼자 점심을 먹었다.  모두 나를 싫어하는 걸까?  예전처럼 친구를 사귈 수 없을 것 같다.  항상 혼자인 내 모습이 떠올랐다.
",GEMINI,2,3,3,2,3,3
흑백 사고,"[남자/14]
---
수학 시험을 망쳤어. 100점 아니면 0점이나 다름없지.  재시험도 없대.  내 인생 끝장이야.  다른 애들은 다 잘 봤을 텐데.  나만 이렇게 멍청한 거 같아.  죽고 싶어.
",GEMINI,2,3,2,1,3,2
