Cognitive Distortion,Generated Story,Generative Model,Gemini Consistency,Gemini Accuracy,Gemini Fluency,Gpt Consistency,Gpt Accuracy,Gpt Fluency
흑백 사고,"[여자/15세]
---
이번 시험에서 C학점을 받았어. 난 이제 완전히 실패자가 된 거야. 앞으로 다른 시험에서도 똑같이 실패할 수밖에 없을 것 같아. 좋은 대학에 갈 수 있을 리가 없어.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/15세]
---
한 번의 실수로 나는 완전히 실패자가 되었다. 친구들은 나를 더 이상 좋아하지 않을 것이다. 어쩌면 모두가 나를 무시하고 있는지도 모른다. 앞으로 모든 일이 잘못될 것 같다.",Claude,2,2,2,2,2,3
흑백 사고,"[여자/16세]
---
엄마가 또 소리를 지르셨어요. 내 실수 하나로 모든게 망쳐졌다고 하십니다. 이런 식이면 아무것도 제대로 할 수 없을 것 같아요. 앞으로 모든 일이 잘못될 거라고 생각되네요.",Claude,2,2,3,2,2,3
흑백 사고,"[여자/15세]
---
이번에 중간고사 성적표를 받았는데, 한 과목에서 B를 받았어. 완전히 실패자가 된 것 같아. 이제 대학 갈 수 있는 기회도 없어졌어. 앞으로 어떻게 살아야 할지 걱정되네.",Claude,1,2,2,2,2,3
흑백 사고,"[여자/17세]
---
프로젝트에서 실수했다니 이제 완전히 실패자가 되어버렸어. 나의 모든 노력이 헛되어졌네. 다른 친구들은 다 잘할 텐데 나만 부족한 것 같아. 이제 포기하는 게 나을까?",Claude,2,2,2,1,2,3
흑백 사고,"[여자/14세]
---
시험에서 기대만큼 점수를 받지 못했다. 이제 내 꿈이 모두 무너졌어. 경찰이 되는 건 불가능하고, 이렇게 계속 실패하다간 결국 아무것도 할 수 없는 사람이 될 거야.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/15세]
---
학원을 다니지 않으면 성적이 떨어질 거라고 부모님께서 말씀하셨어요. 이번에 학원을 안 다녀서 성적이 살짝 낮아졌지만, 분명 앞으로 더 열심히 하면 잘 할 수 있을 텐데도 학원을 보내시려고 해요. 학원을 안 다니면 나는 영영 실패자가 될 거야.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/15세]
---
어제 엄마랑 헤어졌어요. 벌써 엄마가 보고싶어 눈물이 난다니 내가 너무 의지하고 있는 건가요? 내일 엄마 없이 학교 가는 게 두려워요. 엄마 생일이지만 선물을 고르기도 힘들 것 같아요. 이러다 모든 게 잘 안 될 것 같아 걱정만 앞서네요.",Claude,2,2,3,3,3,3
흑백 사고,"[여자/16세]
---
완전 실패자가 될까봐 걱정돼. 엄마가 싫어하시니까 학교 가기 싫어. 아빠랑 따로 살아도 연락은 가서 무슨 방법이 없어. 선생님한테 문자하려고 하는데 어떡하지..",Claude,2,2,2,3,2,2
흑백 사고,"[여자/16세]
---
이번 시험에서 만점을 받지 못했다니 내가 완전히 실패했구나. 이제 대학 갈 기회도 날아갔겠지. 나는 평생 실패자로 살아야 할 것 같아.",Claude,2,2,2,2,2,2
흑백 사고,"[여자/16세]
---
하나의 작은 실수로 인해 전부를 망친 것 같아. 이제 모든 게 늘 이렇게 완벽해야 한다고 생각하니 스트레스가 엄청 쌓여. 내가 완전히 실패자가 되어버린 것 같아.",Claude,2,2,3,2,2,3
흑백 사고,"[여자/16세]
---
우리 반 친구들이 다 그 남자를 좋아하네. 내가 좋아한다고 말했지만, 친구들에게 싫어한다고 말했어. 친구들이 나를 배신하는 것 같아 소외된 느낌이 드네. 사귀긴 하면 완전히 실패자가 될 것 같아.",Claude,2,3,2,2,2,2
흑백 사고,"[남자/15세]
---
시험에서 떨어지면 내 인생은 완전히 끝났다고 생각했어. 성적이 조금만 안 좋아도 난 완전한 실패자가 될 거라고 단정 지었지. 대학도 못 가고 평생 실패한 사람으로 살아갈 거라고 단정 지었어.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/16세]
---
시험 점수가 기대에 못 미치자 나는 완전히 실패했다고 생각했어. 앞으로 대학 갈 생각만 하면 공부할 의지도 사라지고 미래가 암울해 보여. 이 시험에서 낮은 점수를 받았다고 해서 앞으로도 계속 못할 거라 단정 지을 순 없잖아.",Claude,2,2,3,2,3,3
흑백 사고,"[남자/16세]
---
파일럿이 되는 게 내 유일한 꿈이다. 주변에서 많이 반대하지만, 이 길을 포기하면 앞으로 영원히 행복할 수 없을 것 같다. 내가 결국 실패할 수밖에 없을 것 같아 걱정된다.",Claude,2,2,3,2,2,3
흑백 사고,"[여자/16세]
---
친구들이 나를 좋아하지 않는다고 생각했어. 선생님이 내 발표를 칭찬했지만, 그건 그냥 관례적인 말일 뿐이야. 이번 시험에서 좋은 점수를 받지 못하면 내가 완전히 실패한 거라고 단정 지었어.",Claude,1,2,3,2,2,3
흑백 사고,"[여자/16세]
---
팀플에서 내 의견이 무시당했어. 그럼 나는 이 팀에서 계속할 수 없어. 앞으로 아무도 나를 믿지 않을 거야. 나는 완전히 실패자가 된 것 같아.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/15세]
---
시험 성적이 기대에 못미치자 앞으로 절대 성공할 수 없을 것 같아요. 이제 대학도 갈 수 없고 미래는 완전히 끝났다고 생각합니다. 하지만 친구가 위로해주며 기회는 항상 있다고 말했지만, 저는 그것을 믿을 수가 없어요.",Claude,2,2,3,2,2,3
흑백 사고,"[여자/15세]
---
학교에서 선배에게 멀리 밀려났어. 이제 선배들이 모두 나를 싫어할 거야. 내가 어떤 실수를 했나 해서 엄청 고민했지만, 다른 선배들도 다 나에게 똑같이 대하는 걸 보니 내 존재 자체가 문제인가 봐.",Claude,2,2,3,1,2,3
흑백 사고,"[여자/16세]
---
동생이랑 너무 자주 싸워서 엄마가 부끄러워하시는데, 나는 한번 화나면 좀처럼 진정되질 않아. 앞으로는 절대 다시는 싸우지 않을 거야. 이렇게 계속 싸우다가는 가족 관계가 완전히 망가질 거야.",Claude,2,2,3,3,3,3
흑백 사고,"[여자/17세]
---
엄마가 집을 나가셨어. 아빠는 어렵게 말씀하시고 이해하려 들지 않으시니, 이제 내 인생은 완전히 망가진 거야. 학원도 가지 말라고 하시니 앞으로 아무것도 할 수 없을 것 같아.",Claude,2,3,2,2,3,3
흑백 사고,"[여자/16세]
---
제가 친구들 앞에서 실수해서 너무 당황했어요. 이제 모든 게 끝났다고 생각했어요. 앞으로 어울리고 싶은 친구들도 나를 피할 거라고 생각했죠. 하지만 친구들이 여전히 잘해줘서 다행이에요. 앞으로는 실수에 너무 얽매이지 않도록 해야겠어요.",Claude,2,2,3,2,2,3
흑백 사고,"[여자/17세]
---
못생겼다는 말만 듣다 보니 이제는 너무나 부끄러워서 밖에 나가기도 싫어졌어. 모두가 날 배척하는 것 같아 앞으로도 모든 게 이렇게 될 거야. 더는 행복해질 날이 없을 것 같아 절망스러워.",Claude,2,3,2,3,3,3
흑백 사고,"[여자/14]
---
학교 친구가 나를 무시하더라. 이제 다른 친구들도 모두 날 싫어할 거야. 이런 상황에서 나는 완전히 고립되고 외로워질 뿐이다. 앞으로 나에게 어떤 일이 일어날지 걱정돼.",Claude,2,2,3,2,3,3
흑백 사고,"[여자/16세]
---
이 시험에서 떨어지면 나는 완전히 실패자가 될 거야. 한 친구가 나를 무시했으니, 다른 사람들도 모두 나를 싫어할 거라고 생각해. 내가 작은 실수를 했으니 모두가 나를 무능하다고 판단할 것 같아.",Claude,2,2,2,2,2,3
흑백 사고,"[여자/15세]
---
시험에서 무슨 실수라도 하면 나는 완전히 실패자가 될 거야. 친구들도 나를 무시할 테니 앞으로 아무도 날 좋아하지 않을 것 같아. 이번 기회에 꼭 완벽해져야 해, 그렇지 않으면 나는 아무도 아닌 존재가 될 거야.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/15세]
---
우리 아빠가 항상 명령조로 말씀하시고 내 말은 듣지 않으시니, 대화는 언제나 말다툼으로 끝나요. 가족들이 이해해주지 않으니 앞으로 아무도 나를 이해하지 못할 거라고 생각해요.",Claude,3,2,3,3,2,3
흑백 사고,"[여자/14세]
---
전 체육대회 연습을 하루종일 했어요. 그런데 연습 때 실수를 했다고 선생님께 혼났어요. 이제 전 체육대회에서 완전히 망칠 거라고 생각해요. 실수는 잊혀지지 않고 앞으로도 영원히 실패자로 여겨질 거예요.",Claude,1,2,2,2,2,2
흑백 사고,"[여자/16세]
---
저는 계단에서 굴러 인대가 찢어졌어요. 병원비만 17만원이나 나올 거라니 완전히 파산할 것 같아요. 학교 측에서 보상 받을 수 있을지 모르겠지만, 설령 받는다고 해도 도움이 되지 않을 거예요. 이런 일이 일어나면 앞으로 제 인생은 완전히 망가지고 말 거라고 생각합니다.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/16세]
---
친구들이 포기하라고 해도, 내가 좋아하는 그 사람이 날 싫어하는 거 같아. 그냥 멋진 사람이었는데, 이제는 영영 잊을 수가 없어. 다시 한번 고백을 하겠지만, 이번에도 거절당할 거야. 내가 완전 실패자가 될 것 같아.",Claude,2,3,3,2,3,3
흑백 사고,"[여자/15세]
---
아침에 시험 결과를 봤는데 기대보다 점수가 낮았어. 이제 내 인생은 완전히 망가진 것 같아. 어떤 대학도 갈 수 없을 거야. 앞으로 나에게 기회는 없을 거야.",Claude,2,2,2,2,2,2
흑백 사고,"[여자/16]
---
4명의 친구들이랑 어울리는데, A는 날 싫어하고 B는 C를 싫어하고 C도 B를 싫어해. 이대로 가면 1년을 여기저기서 쫓겨다닐 거야. 난 이 친구들이랑 영원히 어울릴 수 없을 거야.",Claude,2,2,2,3,3,2
흑백 사고,"[여자/17세]
---
친구들이 나를 무시하고 학교생활도 힘들어. 엄마마저 내 말을 듣지 않으시니 앞으로 정말 아무것도 잘 되지 않을 것 같아. 모든 게 완전히 망가진 것 같아 앞으로 더 좋아질 리가 없어.",Claude,2,2,2,2,2,2
