Cognitive Distortion,Generated Story,Generative Model,Claude Consistency,Claude Accuracy,Claude Fluency,Gemini Consistency,Gemini Accuracy,Gemini Fluency
감정적 추론,"[남자/16]  
---  
학교에 가고 싶지 않아, 친구들에게 말할 용기가 없어. 나중에 전화 올까 두려워. 아빠가 나를 보면 또 화낼 것 같아, 이렇게 하루 종일 피시방에서 시간을 보내고 싶어.",GPT,2,3,2,2,2,2
과잉 일반화,"[여자/15]  
---  
선생님이 집에서 숙제를 안 했다고 크게 혼내셨어요. 친구들은 저를 보고 수군거리며, 저도 이제 학교에서 외톨이가 될까 두려워요. 항상 똑같은 일이 반복될 거라고 생각하니 너무 힘들어요.",GPT,2,3,3,2,2,3
과잉 일반화,"[여자/17]  
---  
어제 친구들이 제 외모를 농담하더라고요. '너는 왜 항상 눈방울이 그렇게 크냐?'라는 말에 웃고 넘겼지만, 속은 울렸습니다. 모두가 그런 농담에 무덤덤한데, 저만 이처럼 상처받는 것 같아요.",GPT,2,3,2,2,2,3
흑백 사고,"[여자/16세]  
---  
오늘 점심시간에 친구와 다퉜어요. 제 말이 너무 날카로웠다네요. 이제 그녀와는 끝인 것 같아요. 방송부 모임에서 계속 만날텐데, 어색할까봐 걱정이에요. 어떻게 화해해야 할까요?",GPT,2,2,3,2,2,3
감정적 추론,"[여자/15세]  
---  
요즘 많은 일이 힘들어요. 친구들이 제가 무표정하다고 느끼는 것 같아요. 아무리 노력해도 제 내면이 보이지 않는 것 같아 불안해요. 웃으려 해도, 그저 아무렇지 않은 척 하는 게 너무 힘드네요.",GPT,3,3,3,2,2,3
과잉 일반화,"[여자/15]  
---  
친구들과의 점심시간, 그들 모두 나를 피하는 듯해. 한 친구가 내 뒷담화를 한다는 소문이 들려. 아무도 나를 좋아하지 않는 것 같고, 다시는 웃을 수 없을 것만 같아. 정말 힘들어.",GPT,2,3,3,2,3,3
과잉 일반화,"[여자/16세]  
---  
중3 때 친구와의 갈등 때문에 모두와 멀어졌어요. 고등학교 들어와서도 친했던 친구들이 다른 무리에 속해버리니, 이제는 나만 소외된 것 같아 더욱 외롭고 힘든 하루를 보내고 있어요.",GPT,3,3,3,2,3,3
'해야 한다' 진술,"[여자/17]  
---  
부모님은 내가 상위권이라 대학에 가야 한다고 하셔. 그런데 내가 원하는 건 유치원교사야. 성적보다 행복한 직업이 더 중요한데, 그걸 모르는 것 같아. 자퇴하고 싶지만, 두렵고 자신감도 없어.",GPT,3,3,2,2,2,3
과잉 일반화,"[여자/17세]  
---  
나는 언제나 잘하는 친구들만 선발되는 대회에서 떨어질까 두려워. 내 성적은 낮고, 요리 자격증이 있어도 경쟁이 치열하니 아무도 나를 신경 쓰지 않을 거라 생각해. 나의 꿈은 포기해야 할까?",GPT,2,2,2,2,2,3
과잉 일반화,"[남자/17]  
---  
학교에서 친구들과 대화할 때 제 말은 항상 어색해요. 친구가 이야기를 꺼내도 따라가기 힘들고, 뭘 더 이야기해야 할지 모르겠어요. 결국, 대화는 늘 짧고 공허하게 끝납니다.",GPT,3,3,2,3,3,3
과잉 일반화,"[남자/17]  
---  
개학식 후 친구들과의 대화에서, 내 성격이 너무 여리여리한 것 같아 주변에서 만만히 보는 기분이 드네. 성적 걱정으로 전학을 생각하지만, 엄마는 반대하신다. 답답함만 쌓여간다.",GPT,3,3,2,2,2,3
성급한 판단,"[여자/15]  
---  
친한 친구와 채팅 중 오해가 생겼어요. 친구가 갑자기 말이 없고, 성격이 급해 걱정이 커져요. 전화를 할 수도 없고, 제가 잘못한 건 아닌지 불안합니다. 이 마음, 정말 힘들어요.",GPT,3,2,3,2,2,3
낙인찍기,"[여자/15]  
---  
미술부 체험학습 날, 한가람미술관으로 가기 싫어요. 혼자라면 민망할 것 같고, 같은 반 친구는 말도 없고 안 좋아해요. 사진 찍을 때 애들이 뭐라 할까 봐 걱정이에요. 정말 고민이에요.",GPT,2,3,3,2,2,3
과잉 일반화,"[여자/18]  
---  
새로운 반에서 아는 친구가 둘 있었지만, 둘이 많이 친해서 저만 어색한 기분이에요. 다른 친구들과도 자연스럽게 지내지 못하고, 자꾸 밖에서만 겉도는 것 같아 슬프네요.",GPT,2,3,3,2,3,2
흑백 사고,"[남자/14]  
---  
이 여자아이는 나만 바라봐야 하는 특별한 사람이었어. 만약 내 고백이 거절된다면, 다른 사람은 절대 사랑하지 않겠다고 생각해. 친구들은 늘 괜찮다는데, 나는 그 애가 아니면 진짜로 소용없을 것 같아.",GPT,2,3,2,2,3,2
성급한 판단,"[남자/16]  
---  
반에서 한 친구가 다가와 이야기를 시작했어요. 그 아이, 소문대로 성격이 험하다고 하던데. 상대방의 의도가 궁금하고 불안하지만, 무시하기엔 사실 좀 외로워요. 별로 좋은 방향은 아닐 것 같아 걱정이에요.",GPT,3,2,3,2,2,3
과잉 일반화,"[여자/16]  
---  
새 학교에 적응하느라 힘든데, 친구가 나를 버리고 다른 친구들끼리만 노는 것 같아. 혼자 점심을 먹고, 다른 반 애들도 친해지기 어렵고, 점점 외로워져. 뭐 어떻게 해야 할까?",GPT,3,3,3,2,2,3
과잉 일반화,"[남자/17]  
---  
고2가 되면서 새 반에 대한 기대감이 사라졌다. 같은 반에 잊고 싶던 친구가 있어 다시 그 시절로 돌아간 느낌이다. 담임선생님이 학원까지 끊으라 하니, 자퇴에 대해 더 심각하게 고민 중이다.",GPT,3,2,2,2,3,3
